ཨ་ཧྥེ་རི་ཁ།	Afrika
རྒྱ་གར་གི་ལོ་རྒྱུས།	Geschiedenis van Zuid-Azië
རྫོང་གྲུག	Squash
ཨེལ་བྷ་ར་སྒྲེ།	Mohammed el-Baradei
ཧ་ཐུའོ་ཨེར།	Hathor (godin)
ཨེ་ལི་ཡཱ།	Elia (profeet)
ནད་ཡམས།	Pest (ziekte)
ཨ་པོ་ལི་ནེར།	Guillaume Apollinaire
ཀེར་ལངས།	Erectie
མོག་མོག་	Momo (gerecht)
ཕི་ལོ་ཋི་ནཱ་ཟི།	Plotinus
སོ་བཀྲུ།	Tandenborstel
ལྷ་ཆོས།	Dharma
ཡུ་ཁྱོ་མི་ཤི་མ།	Yukio Mishima
ཁོ་རེ་ཡའི་ཤིང་ཞིག	Artisjok
ཆུ་པུ།	Chubu
འབྲུམ་སྨན།	Vaccin
ཤམ་ཕེན་ཆང་།	Champagne (wijn)
རྟག་པའི་རང་བཞིན་ཡུན་ནས།	Eeuwigheid
སྙེ་མོ་རྫོང་།	Nyemo
ཅཱོན་བུ་རི།	Chonburi (stad)
ཐའེ་ཧུའུ་མཚེའུ།	Taihu
ཏི་རེ་ཁི་མཚོ་འགག	Straat Drake
ཝེ་ཁེ་ཏོ་རི་ཡ་བྱེ་ཐང་ཆེན་མོ།	Grote Victoriawoestijn
མ་མེན་མེ་ཏོག	Viooltje
ལྕི་ཚ།	Boterbloem
སུའོ་པོ་ཁོ།	Sobek
པུའུ་ཐ།	Ptah
རྒྱ་མེན།	Klaproos
རྩ་མདའ་རྫོང་།	Tsada
སིལ་ཏོག་ཅིག་གི་མིང་།	Zwarte bes
༄༅།། ཤི་ལོག	Opstanding (Tolstoj)
ཚ་ལུ་མ་སྐྱུར་མོ།	Zure sinaasappel
ཤིང་པད་མ།	Paeonia
རླངས་ཆུ།	Frisdrank
༄༅།། ཨན་ན་ཁ་ལི་ཉེ་ན།	Anna Karenina
གནམ་རིག་ཁང་།	Planetarium
ཆུ་པད་མ།	Waterleliefamilie
ངོ་ཚ་བ།	Schaamte
ཤིང་བཟོ་བ།	Timmerman
ཁ་རེལ་ཆ་ཕེག	Karel Čapek
དྲང་སོང་མེ་ཏོག	Hortensia (geslacht)
ཟིང་དཀར།	Anjer
མེ་ཐུ་ཟི་ལཱ།	Metusalem
གུར་ཀུམ།	Saffloer
ཕྱེ་ལེབ་མེ་ཏོག	Lis (geslacht)
ཤང་དྲིལ།	Sleutelbloemfamilie
ཞབས་ཞུ་བ།	Kelner
མེ་རི་ཌུ་ཁོ་རེ་གྷན་མ་གྷུ་རེ།	Mairead Corrigan
བྷེ་ཊི་ཝེལ་ལམ།	Betty Williams
ཀུན་སྤྱོད་བཟང་པོ།	Deugd
ཧྥེ་ཧྥེ།	Bavianen
ལི་ལན་ཅིའེ།	Jet Li
རླབས་ཤུད།	Surfen
པ་གླིང་།	Fagot
མིག་སྤུ།	Wimper
གོ་རེ་བཟོ་མཁན།	Bakker (beroep)
སྡང་སེམས།	Haat
ཇོའོ་ཏའེ་ལྦེ་སོན་རོའོ་ཀ་ཧྥེ་ལར།	John D. Rockefeller
སྒྲོག་གུ	Knoop (kleding)
ཟི་ར་ནག་པོ།	Nigelle
མངར་དྲིལ།	Fuchsia
ཟུར་དྲུག་མའི་སྐར་མ།	Davidster
གདོང་འབག	Masker
༄༅།། དམག་འཁྲུག་དང་ཞི་བདེ།	Oorlog en vrede (boek)
ཉི་ཧོང་གི་མི།	Japanners
ཕ་ཁྲི་རི་ཟེ་ལི་མིན་བ།	Patrice Lumumba
བར་རིམ།	Mesosfeer (atmosfeer)
མ་སེའི་མི།	Masaï (volk)
སྒེར་རྩེ་རྫོང་།	Gertse
ཐེ་སླ།	Tesla (eenheid)
འགྲོ་མགོན་ཆོས་རྒྱལ་འཕགས་པ།	Phagspa
འཁྱིལ་དུང་།	Hoorn (muziekinstrument)
གཞས་རིག་པ།	Musicologie
ཁམ་ཤིང་།	Zoete kers
ཚལ་དཀར་ཆེ་བ།	Chinese kool
ཅག་ཕུ་རེ་ཝེར།	Jacques Prévert
ལྷོ་ཀུབ།	Pompoen
སྣུམ་སྒྱུར་ཆས།	Carburateur
ནུའུ་ཐི།	Noet
ཤིང་དཀྲོལ།	Xylofoon
སྦུབས་མཆོངས།	Hoogspringen
ཨའོ་ཉེ་ཅ་མཚེའུ།	Onegameer
བྱི་བ་གཡི།	Manoel
རྫ་ཡུལ་རྫོང་།	Chayu
རྫ་རྫིས།	Zazie
ཐའེ་ཅི་ཆོན།	Tai chi
ཁབ་ར།	Alpensteenbok
ཀའེ་པུའུ།	Geb (mythologie)
རྣ་རྒྱན།	Oorring
ཕུ་དིག	Zomertortel
ལག་ཤུབས།	Handschoen
ནའེ་ཧྥུ་ཏི་སི།	Nephthys
ཕི་རོ་ཁྲེ་གྷོ་རཱ་ཟི།	Protagoras (filosoof)
སེམས་སྐྱོ་བ།	Verdriet
ཧྲུའུ།	Sjoe
འུག་དཀར།	Sneeuwuil
ཅི་ནན།	Jinan
ཕྱི་རིམ།	Exosfeer
ཨཱ་ཝཛ།	Ahvaz
ཨ་ཝ་རུ་ཨ།	Avarua
ཨ་ཐུན།	Atoem
གད་མོ་ཤོར་བ།	Lachen (gedrag)
མགོམས་མཆོངས།	Verspringen
ཆགས་སྦྱོར་རིག་པ།	Seksuologie
ཟས་ཀྱི་རིག་པ།	Gastronomie
མི་ཆོག་པའི་བཀག་བྱ།	Taboe
དཔལ་དགོན་བླུ་གྲུབ།	Nagarjuna
སེམས་དབུས་ཀྱི་ཞལ་ཟས་ཁང་།	Restos du Cœur
ཉི་མ་མེ་ཏོག​	Zonnebloem
ལར་ན་ཀ།	Larnaca (stad)
གསུབ་འགྱིག	Gum (materiaal)
དྲི་ཞིམ་ཅན།	Lavendel
ཆོས་དད་རང་མོས།	Godsdienstvrijheid
ཕིག་མིའི་མི།	Pygmeeën
གབ་རེས་འུར་རེས།	Verstoppertje
ཧེན་ཐའེ།	Hentai
འཕྲེད་བཅད་རི་རྒྱུད	Hengduan Shan
འཁོར་བ།	Samsara
ལི་སྨིད།	Centimeter
གཡང་ཊི།	Jade (mineraal)
བྱང་གི་ལྡོག་ཐིག	Kreeftskeerkring
གཞས་པ་གཞས་མ།	Zanger
ལྷོའི་ལྡོག་ཐིག	Steenbokskeerkring
ཟླུམ་ངོས་ཚད།	Steradiaal
རྐང་ལམ།	Trottoir
སྣུམ་ཚལ་	Koolzaad
ཚ་རིམ།	Thermosfeer
བྱང་སེམས་ཅན།	Bodhisattva
གཏེར་ཆུ།	Mineraalwater
ཝེ་ཞིན་ཀེ་ཐུའོ་ལི་ཁོ་སི།	Vercingetorix
ཇེ་དུ་ཀྲི་ཤི་ན་མུར་ཏི།	Jiddu Krishnamurti
ནན་ཉིང་གྲོང་ཁྱེར།	Nanning
ལ་ཁི་སི།	Lux (eenheid)
བོད་ས་མཐོ།	Tibetaans Hoogland
ཤྭ་བ་རྔ་རིང་།	Wapiti
གསོ་ཕྲུག	Adoptie
ན་ཏི་སུ་མེ་སོ་སེ་ཁི	Natsume Soseki
ཕ་ལོན་ཁེ།	Palenque (Mayastad)
ཨོ་ལན་ཀི་གཙང་པོ།	Oranjerivier
ཀའོ་ཞུང་གྲོང་ཁྱེར།	Kaohsiung
༄༅།། རྒྱལ་པོ་ལེར།	King Lear
མོ་རི་ཧེའི་ཨུའེ་ཤི་ཕཱ།	Morihei Ueshiba
ཚའོ་ཞུའེ་ཆིང་།	Cao Xueqin
མངར་ཟས།	Nagerecht
ཁུ་ནུའུ་མུའུ།	Khnum
ཀོ་ཅ་བང་ལྦ་	Cochabamba (stad)
བོད་ཞི་བས་བཅིངས་འགྲོལ་འབྱུང་ཐབས་སྐོར་གྱི་གྲོས་མཐུན་དོན་ཚན་བཅུ་བདུན་	17 puntenakkoord
ཧུད་མི།	Hui (volk)
ཤུགས་འཁོར།	Vliegwiel
ལན་ཀྲོའུ།	Lanzhou
ཊར་བེ།	Tarbes
ཨ་བྲ་ཡང་ན་ཨབ་ར།	Fluithazen
ༀ	Om (mantra)
ཏེའོ་དོར་དེ་ཇེ་རི་ཀོ།	Théodore Géricault
ལ་ཕུའི་ཨང་ཝ་ལེ།	Le Puy-en-Velay
རྒྱུན་འཇགས་བརྗོད་ཚིག	Idioom
རྒྱ་རིགས་ཀྱི་མཚན་ཉིད་རིག་པ།	Geschiedenis van de Chinese filosofie
༄༅།། གཟུགས་འགྱུར་བའི་གཏམ་རྒྱུད།	Metamorfosen (Ovidius)
ཨེ་དོའི་དུས་སྐབས།	Edoperiode
ལིན་ཙེ་ཞིའུ།	Lin Zexu
པར་ན་པཱ།	Barnabas
ཨ་ཡོ་དྷི་ཡ།	Ayodhya
སྒང་ཐོག	Gangtok
རྡ་རམ་ས་ལ།	Dharamsala
གཉན།	Argali
ཁོ་བོ་ཨ་བེ།	Kobo Abe
སྨན་གཡོག	Verpleegkundige
ལེབ་ཤྭ།	Gewone oesterzwam
ཕི་ནོའི།	Pinoy
ལུའོ་དབྱང་།	Luoyang
ཨོ་ནོ་རེ་དོ་མི་ཡེ།	Honoré Daumier
སྒར་ཉེའི་ཟློས་གར་ཁང་།	Opéra Garnier
ཁུ་ནུ་རི་རྒྱུད།	Kunlun
བོད་མི།	Tibetanen
ཧ་ནུ་མན།	Hanoeman
རི་གྷོ་བྷེར་ཏ་མེན་ཆུ་ཏུམ།	Rigoberta Menchú
ཇིང་ཏ་ལིང་ཏ།	Schommel
རོ་ཌེ་ཛི།	Rodez (stad)
ཁོར་ཡུག་རིག་པ།	Milieuwetenschappen
TED	TED (conferentie)
རོ་ཀ་ཧྥོར། (ཆུར་བ།)	Roquefort AOC
སྐེ་རྒྱལ།	Halsketting
ཁོ་རོར།	Koror (stad)
ཧའེ་ཁོའུ་གྲོང་ཁྱེར།	Haikou
ཐག་རྒུལ་འདྲ་གཟུགས།	Marionet
ཨི་ནུའི་ཏི་མི།	Inuit
མོ་གཅུས། (ལག་ཆ།)	Moer (verbinding)
སྐེ་དཀྲིས།	Sjaal
ལེ་ཉིན་གྱི་བང་སོ།	Mausoleum van Lenin
བླ་མ།	Lama (geestelijke)
དོ་མེ་ནི་ཀོ་གིར་ལན་ད་ཡོ།	Domenico Ghirlandaio
དཀྱིལ་འཁོར།	Mandala
མིག་མངས།	Chinees schaken
ཨོ་ཝུན་ཁེ་མི།	Evenken
ཁྱིམ་ཐབ་མེད་པར་གནས་པའི་མི་ཚེ།	Celibaat
བཙུན་མ།	Zuster (religie)
ནའེ་ཐི།	Neith (godin)
ཀོ་མེ་དི་ཡ་དེལ་ཨར་ཏེ།	Commedia dell'arte
ཨ་བ་དཱེ།	Abadeh
ཨུ་སུག་རིང་མོ།	Kous (kledingstuk)
གདུགས་མཆོང་ལུས་རྩེད།	Parachutespringen
མི་ཡ་མོ་ཏོ་མུ་ས་ཤི།	Miyamoto Musashi
འབྲུག་མིག	Longan
རྒྱལ་བ་བྱམས་པ།	Maitreya
ར་རྒྱ།	Takin
སིལ་རྔ།	Tamboerijn
སྤྱན་རས་གཟིགས།	Avalokitesvara
རྒས་མེད་ཚེ་རིང་།	Onsterfelijkheid
དགེ་འདུན་དཀོན་མཆོག	Sangha (boeddhisme)
རི་བོ་ཨ་ཝུན་ཏི་ཉི།	Aventijn
ས་རཱ།	Sara (aartsmoeder)
འཕང་འབྲས།	Boksdoorn
བྲག་གཡབ་རྫོང་།	Dragyab
གྲ་ནང་རྫོང་།	Dranang
ཀྲང་ཧྥེ།	Zhang Fei
ཀྲང་ཧེང་།	Zhang Heng
གཞལ་སྒང་གི་ས་ཁོངས།	Zhemgang (district)
འབྲོང་པ་རྫོང་།	Drongpa (arrondissement)
ཀྲུའུ་ཀོ་ལིའང་།	Zhuge Liang
ཞུས་ཀྲོའུ།	Zhuzhou
འཛམ་གླིང་རྒྱལ་རབས་	Geschiedenis van de wereld
ཡ་ཕེད།	Jafet
པོལ་ཝ་ལེ་རི།	Paul Valéry
རི་བོ་ཕ་ལ་ཏི་ཉི།	Palatijn
ལ་དྭགས	Ladakh
སྤྱི་མཐུན་རྒྱལ་ཁབ་ཨང་ལྔ་པ།	Vijfde Franse Republiek
ཤེམ།	Sem (persoon)
ཟེར་མོ།	Ruigpoothoenders
མཚོ་སྔོན	Qinghaimeer
ལག་གདུབ།	Armband
སྤྱི་ཚོགས་རང་མོས་རེང་ལུགས།	Progressief liberalisme
སུར་པན།	Capsicum
པོ་ཐང་མ།	Povlakte
ཁར་པེན་ཏྲ།	Carpentras
ཇ་དམར།	Zwarte thee
སེན་གོའི་དུས་མཚམས་	Sengoku-periode
ཚའོ་ཚའོ།	Cao Cao
ཀ་ན་ཨན། (གསུང་རབ།)	Kanaän (persoon)
ཚི་ཕོ་རཱ།	Sippora
ར་བཟི་བ།	Dronkenschap
སྐར་རེའི་འཁོར་ཚད།	Omwentelingen per minuut
ཨེ་ལི་ཤ།	Elisa (profeet)
ཨ་ཌོལ་ཧྥོ་པེ་རེ་ཛུ།	Adolfo Pérez Esquivel
ཤེད་འཕྲུལ་འགྲོས་ཁྲ།	Toerenteller
བསིལ་ལྦུ།	Sprite (frisdrank)
ཅཱོན་བུ་རི་ཞིང་ཆེན།	Changwat Chonburi
མཚན་སྙན།	Eer
ཝུའུ་དབྱི་རི་བོ།	Wuyigebergte
ལུས་བསྲུངས་མཐའ་འཁྱོལ།	Kuisheid
རི་བོ་ཁུའེ་ལི་ན་ཨེར།	Quirinaal
དཀོན་མཆོག་གསུམ།	Drie Juwelen (boeddhisme)
ཐག་སོག	Kettingzaag
ཉ་རྡོ་གཟན་ཐོད་ཞེང་ཅན།	Hamerhaaien
བསམ་པའི་དགའ་རོགས།	Platonische liefde
གོར་གོན་ཟོ་ལ། (ཆུར་བ།)	Gorgonzola (kaas)
ཕུག་རོན།	Columba (geslacht)
སི་རོ་སི།	Syros
རི་བོ་ཨའེ་སི་ཁུའེ་ལི་ཉི།	Esquilijn
ཇོ་ཌེ་ཝེ་ལེམ།	Jody Williams
ཡིན་ཁྲོའོན་གྲོང་ཁྱེར།	Yinchuan
ཀ་ཡ་ཕཱ།	Kajafas
འཕར་ལེན།	Schokdemper
ཨོ་སེལ་ཏཱ་མི་ཝིར།	Oseltamivir
པོ་ཨ་ཟི།	Boaz (Bijbelse naam)
རོ་ནིན།	Ronin (samoerai)
ཧྥ་རན་སི་ཡི་གྲོང་ཁྱེར་ཆེན་པོ།	France métropolitaine
ཐི་མོ་ཐེ།	Timoteüs
མེ་ཏོག་བྲག་སྤོས།	Camellia
སེམས་ཁམས་རིག་པ་བ།	Psycholoog
ཧེ་ནོག	Henoch
ཞི་ལིན།	Shilling
སྤྱོད་ལམ་སྒྱུ་རྩལ་ཐོག	Performance
དྲིལ་ཁྲུ།	Meetlint
ཁའོ་ཕན།	Copán (Mayastad)
སྦུལ་ཆེན།	Boa constrictor
༄༅།། ས་ག་ཟླ་བ།	Vesakha Puja
ཐའེ་ཧྲན་རི་བོ།	Taishan (berg)
སེ་བ། (གསུང་རབ།)	Seba
ཞུན་ཙི།	Xunzi
ཅིའུ་ཅང་།	Jiujiang
རི་བོ་ཝེ་སྨི་ན་ཨེར།	Viminaal
ལུ་ཡི་སེ་མི་ཤེལ།	Louise Michel
ཏུང་མི།	Dong (volk)
རི་བོ་ཁ་ཨའེ་ལི་ཨན།	Coelius
བྱང་སྣེའི་སྤྱང་ཀི	Poolwolf
རི་ཀོ་ཏ། (ཆུར་བ།)	Ricotta
ཏ་ཝོར་མི།	Daur
མཛོ་སྒང་རྫོང་།	Dzogang
སྒྲ་གཅན་འཛིན།	Rahula
ཚ་ལུ་མའི་ཁུ་བ།	Sinaasappelsap
ཐག་འགྲོས།	Koorddansen
སི་མོ་ནེ་མར་ཏི་ནི།	Simone Martini
རྐྱང་།	Kiang
སྦྲེལ་མདའ།	Drijfstang
འདོད་ཕྱོགས་ཀྱི་ཚོང་ཁང་།	Seksshop
ཡན་ནིག་ནོ་ཨ།	Yannick Noah
ཀོན་ཡུས།	Guan Yu
རུས་སྤལ་	Schildpadden
རྣམ་རྒྱལ་ལྷ་མོ།	Namgyal Lhamo
ཝུའུ་ཁྲེང་ཨེན།	Wu Cheng'en
གླ་བ།	Muskusherten
གངས་རིན་པོ་ཆེ།	Kailash
ཚའེ་ལུན།	Cai Lun
ཁུ་རའེ།	Curie (eenheid)
ཧམ།	Cham (persoon)
པདྨ་འབྱུང་གནས།	Padmasambhava
ཇ་ཝུའུ་ལུང་།	Oolongthee
ཧྲའོ་ལིན་དགོན་པ།	Shaolinklooster
ས་ལོ་མེ།	Salomé (Bijbel)
ཆེང་མྰེ་ཞིང་ཆེན།	Changwat Chiang Mai
འགྲུལ་བྱི།	Lemmingen
ར་ལྦ་ན།	Ravana
སོང་ཁ་ལ་ཞིང་ཆེན།	Changwat Songkhla
ཨོ་ལི་ཝེར་.རྒོ་རྡི་སིམ་སི།	Oliver Goldsmith
འོད་དཔག་མེད།	Amitabha
ས་ཊུན་ཞིང་ཆེན།	Changwat Satun
ཆེང་རཱེ་ཞིང་ཆེན།	Chiang Rai (provincie)
པ་ཊ་ནི་ཞིང་ཆེན།	Changwat Pattani
ར་ནོང་ཞིང་ཆེན།	Changwat Ranong
ཀཱན་ཅ་ན་བུ་རི།	Kanchanaburi (stad)
༩༠ (གྲངས་ཀ།)	90 (getal)
མེ་ཏོག་ཧོང་ཀྲང་།	Anthurium
ན་ཁཱོན་ས་ཝན་ཞིང་ཆེན།	Changwat Nakhon Sawan
རྣམ་པར་སྣང་མཛད།	Vairocana (dhyani-Boeddha)
སུ་ར་ཊི་ཐ་ནི་ཞིང་ཆེན།	Changwat Surat Thani
ལམ་པང་ཞིང་ཆེན།	Changwat Lampang
ཨོཾ་མ་ཎི་པ་དྨེ་ཧཱུྃ།	Om mani padme hum
༥༨ (གྲངས་ཀ།)	58 (getal)
འབྲས་སྤུངས་དགོན།	Drepung
དི་ནོ་བུ་ཟ་ཏི།	Dino Buzzati
ཚེམ་བཟོ།	Kleermaker
འབྲ་གོ་དམར་པོ།	Jujube
བུན་ར་ཀུ།	Bunraku
༧༢ (གྲངས་ཀ།)	72 (getal)
ཐག་མཆོང་།	Touwtjespringen
སྲམ།	Kleinklauwotter
ན་ཁཱོན་སི་ཐམ་མ་ར་ཊི་ཞིང་ཆེན།	Changwat Nakhon Si Thammarat
ཅུམ་ཕཱོན་ཞིང་ཆེན།	Changwat Chumphon
པེ་སོ།	Peso
ནཱན་ཞིང་ཆེན།	Changwat Nan
ཕེ་ཊི་ཅ་བུ་རི་ཞིང་ཆེན།	Changwat Phetchaburi
སན་ཇོ་སེ།རྒྱ་ནག	San José Chinantequilla
ལིའུ་པེ།	Liu Bei
༄༅།། ས་ཐེར་ཁོན།	Satyricon (boek)
རྩེ་ཐང་	Tsetang
ཞིག་ཀྲུའུ།	Hsinchu
ཆུ་སྦུག་བཟོ་གྲ།	Installateur
མིང་གི་གོ་རིམ།	Woordvolgorde
ཁྲེ།	Gierst
ན་ཁཱོན་ར་ཊི་ཅ་སི་མ་ཞིང་ཆེན།	Changwat Nakhon Ratchasima
གཙོད།	Tibetaanse antilope
སྦུག་ཚལ།	Waterspinazie
པང་གདན།	Schort
ལུང་མོན་བྲག་ཕུག	Grotten van Longmen
ཅའི་ཡ་ཕུམ་ཞིང་ཆེན།	Changwat Chaiyaphum
ལོའི་ཞིང་ཆེན།	Changwat Loei
པའེ་མི།	Bai (volk)
ཀཱན་ཅ་ན་བུ་རི་ཞིང་ཆེན།	Changwat Kanchanaburi
ཕི་ཊི་ཙ་ནུ་ལོཀ་ཞིང་ཆེན།	Changwat Phitsanulok
ཨུ་སུག་སྲབ་མོ།	Panty
ཕ་སི་ཁལ་ལ་མི།	Pascal Lamy
༩༢ (གྲངས་ཀ།)	92 (getal)
༨༤ (གྲངས་ཀ།)	84 (getal)
༩༦ (གྲངས་ཀ།)	96 (getal)
ཅང་ཝེ།	Jiang Wei
༤༣ (གྲངས་ཀ།)	43 (getal)
ཡུ་དཱ། (གསུང་རབ།)	Juda (zoon van Jakob)
༨༧ (གྲངས་ཀ།)	87 (getal)
ཡ་ཀོབ།	Jakob (aartsvader)
༥༤ (གྲངས་ཀ།)	54 (getal)
ལོ་ལོ་ཧྥེ་ར་རི།	Lolo Ferrari
ཨ་ལན་ཟླ་བ་སྒྲོལ་མ།	Alan Dawa Dolma
ལི་མི།	Li (volk)
ཕྱོགས་མདའ།	Aandrijfas
ཀེན་ཤིན་ཨུའེ་སུ་གི	Uesugi Kenshin
པི་ས་ནེལ་ལོ།	Pisanello
ནུའུ་ཨར་ཧ་ཁྲི།	Nurhaci
ཛ་ཕོག	Parodia
དབྱང་མེ།	Yang mei
ཏཱ་མིན་རོས་སེ།	Damien Rice
རོའོ་པེར་ཐ་འཛོ་ལི་ཀ།	Robert Zoellick
སུན་ཆོན།	Sun Quan
ཆུས་ཡོན།	Qu Yuan
པར་ཨབ་པཱ།	Barabbas
ཝ་སེར།	Tibetaanse zandvos
ཏུན་ཧོང་གྲོང་ཁྱེར།	Dunhuang
དགེ་ལུགས་པ།	Gelug
སན་ཡ་གྲོང་ཁྱེར།	Sanya
དོ་མེ་ནི་ཀི་ནོ།	Domenichino
སྲོང་བཙན་སྒམ་པོ།	Songtsen Gampo
ནེར་ཁུ་སི།	Nearchos
ཐེ་ཏུ།	Titus (Bijbel)
བཟེ་རུ་པ་པེལ། (གསུང་རབ།)	Zerubbabel
ཤཱ་རིའི་བུ།	Sariputta
ལེའི་ཨུའོ་ཧྥེ་རེ།	Léo Ferré
ཇོ་བོ་རྗོ།	Atisha
པ་ར་ཅིན་བུ་རི་ཞིང་ཆེན།	Changwat Prachinburi
ཨབ་ཡཱ་ཐར།	Abjathar
རྗེ་ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ་	Tsongkhapa
བལ་ཏུ་སི།	Balthus
བཙན་བྱོལ་བོད་གཞུང་།	Tibetaanse regering in ballingschap
ཅཱན་ཐ་བུ་རི་ཞིང་ཆེན།	Changwat Chantaburi
ནོང་ཁའི་ཞིང་ཆེན།	Changwat Nong Khai
མཐུད་རྒྱུགས།	Estafette
དབུས་གཙང་	U-Tsang
གློག་བརྙན་པར་ཆས།	Filmcamera
པེ་ཅིང་གི་ཁྲང་ཞི།	Jing-opera
མ་ཡའི་ཨང་ཀི།	Mayacijfers
གསེར་མོ།	Goudfazant
ཨ་པོ་ལོ་སི།	Apollos
མུཀ་ད་ཧཱན་ཞིང་ཆེན།	Changwat Mukdahan
རེ་ཡོང་ཞིང་ཆེན།	Changwat Rayong
གསོར་འབིགས།	Boor (gereedschap)
འོད་སྲུང་།	Mahakasyapa
ཁྲུར་སི་ཐན་དང་ཨེ་སོལ་རྡེ།	Tristan en Isolde (legende)
ས་ལར་མི།	Salar (volk)
མི་གཡོ་བ།	Acala
པང་ཏ།	Pond (munteenheid)
ཆགས་སྤྱོད་ཀྱི་རྒྱུ་རྩལ་གྱི་ལོ་རྒྱུས།	Geschiedenis van de erotische afbeelding
༨༨ (གྲངས་ཀ།)	88 (getal)
རྒྱུག་ཆུ།	Watergang (wateroppervlak)
ཇི་ཡོ་ཝ་ནི་བོལ་དི་ནི།	Giovanni Boldini
ཝིག་ཏོར་སེར་ཇེ།	Victor Serge
ས་སེ་ཏ།	Stefano di Giovanni
ཨེ་ལི། (གསུང་རབ།)	Eli (priester)
ཁྲི་སྲོང་ལྡེ་བཙན།	Trisong Detsen
ཆུ་ཤུར་རྫོང་	Chushur (arrondissement)
ཡའོ་མི།	Yao (volk)
ཝང་ཞི་ཀྲི།	Wang Xizhi
མར་པ་ལོ་ཙཱ་བ་ཆོས་ཀྱི་བློ་གྲོས་	Marpa
མོའུ་འགལ་བུ།	Maudgalyayana
ཏོའུ་ཨེར་ཏུན།	Dorgon
ཨུ་ཌོན་ཐ་ནི་ཞིང་ཆེན།	Changwat Udon Thani
ཨའེ་ཏ་མི།	Aeta
ས་ཀཱོན་ན་ཁཱོན་ཞིང་ཆེན།	Changwat Sakon Nakhon
ཡུར་རྒ་ཨེ་བ་ན་སི་ཁད་ཐེེ།	Jurga Ivanauskaitė
ཨོས་ཏྲལིཨན་ཕྱི་རྒྱལ་ཞབས་ཞུ་ཁང་	Vereniging voor Diensten in het Buitenland
ལྷུན་གྲུབ་རྫོང་།	Lhundrub
ལྗི་བ།	Vlooien
དབུགས་སྒོའི་རྡེག་ངར།	Tuimelaar (motortechniek)
༄༅།། མད་ཐཱ་བྲིས་པའི་འཕྲིན་བཟང་བཞུགས་སོ།།	Evangelie volgens Matteüs
ཨག་རི་ནིའོ།	Agrinion
བེང་ག་ལི་ཡི་མི།	Bengalen (volk)
པེ་ཅིང་གི་བྱ་གག་སྲེག་མ།	Pekingeend
ནམ་མཁའི་སྙིང་པོ།	Akasagarbha
ཨ་མདོ	Amdo (provincie)
༨༥ (གྲངས་ཀ།)	85 (getal)
མུ་མེན།	Violet
ཁ་བཏགས།	Khata
ཁ་ཀུབ།	Sopropo
ཟིང་སྐྱ །	Roze
༢༧ (གྲངས་ཀ།)	27 (getal)
ཟེ་མོ།	Bergwezel
༣༥ (གྲངས་ཀ།)	35 (getal)
༦༤ (གྲངས་ཀ།)	64 (getal)
༩༩ (གྲངས་ཀ།)	99 (getal)
༡༠༡ (གྲངས་ཀ།)	101 (getal)
ཨར་པག་སད།	Arpachshad
ཨ་མདོ་རྫོང་།	Amdo (arrondissement)
ཚ་ལི་མ་ཆུང་བའི་རིགས།	Clementine (vrucht)
བེན་ཡ་མིན། (གསུང་རབ།)	Benjamin (zoon van Jakob)
དབྱི་མི།	Yi (volk)
བུམ་ཐང་གི་ས་ཁོངས།	Bumthang
ཧན་ཧུང།	Han Hong
ལྷ་ས་དེ་སེ་ལ།	Lhasa de Sela
ཡོ་ས་ནོ་ཨ་ཁི་ཀོ།	Akiko Yosano
ཚེ་བརྟན་སྒྲོལ་མ།	Tseten Dolma
དབང་ཧྥེའི།	Faye Wong
གནའ་བ།	Blauwschaap
ན་ཁཱོན་ཕ་ནོམ་ཞིང་ཆེན།	Changwat Nakhon Phanom
གྷི་ལིན་གྲོག་རོང་།	Glen Canyon
བཀའ་བརྒྱུད་པ།	Kagyü
འཇམ་དཔལ་དབྱངས།	Manjushri
དཀྱིལ་ཀྲུང་།	Lotushouding
ཧ་ཉི་མི།	Hani
ནུབ་ཕྱོགས་རྒྱལ་ཁབ་ཀྱི་རིག་གནས།	Westerse cultuur
ཤ་རི་ཡ།	Sharia
རྡུལ་ཕྲན་སྤུས་ཚད་རྩི་གཞི།	Atomaire massa-eenheid
རི་མོ་བ།	Kunstenaar
ཝལ་མར།	Walmart
མཆོངས་རྒྱུག	Parkour
བོད་བརྒྱུད་ནང་བསྟན།	Tibetaans boeddhisme
ཇ་ལྗང་།	Groene thee
ལུ་མེན།	Lumen (eenheid)
སྲན་ལྗང་།	Mungboon
སྐད་ཀྱི་མཚན་ཉིད་རིག་པ།	Taalfilosofie
མགོ་མཁྲེགས་གཞུང་ལུག	Cynisme (filosofie)
དེབ་འཛེར་ཆས།	Nietapparaat
ཤིང་ཏོག་གི་མིང་ཐོ།	Lijst van fruit
ཁ་ཁུ་སིམ་པོ།	Stilte
ཨེ་པེར།	Eber (Hebreeuwse Bijbel)
ལམ་སྒྲོན།	Straatverlichting
འབར་མའི་མི།	Bamar (volk)
ཧོ་ཀྲེ་མི།	Nanai
ཝེ་ཟོང་ལ་རོ་མེ་ནེ།	Vaison-la-Romaine
མཚོ་བྱང་བོད་རིགས་རང་སྐྱོང་ཁུལ་	Haibei (autonome Tibetaanse prefectuur)
