ཨ་ཧྥེ་རི་ཁ།	Afrika
པུ་ལ་ཁེ།	Praag
སྔོན་པོ།	Blauw (kleur)
འབོམ་སྦེ	Bombay
ཨཱན་དྷ་ར་མངའ་སྡེ།	Andhra Pradesh
ཨ་རུ་ནཱ་ཅལ་མངའ་སྡེ།	Arunachal Pradesh
ཨཱསཱམ།	Assam
སྦི་ཧཱར།	Bihar
མི་ཅི་གྷན།	Michigan
ཆར་ཊི་སི་གྷར།	Chhattisgarh
གྷོའ།	Goa (India)
ཧ་རི་ཡཱ་ཎཱ།	Haryana
ཧི་མ་ཅལ་མངའ་སྡེ།	Himachal Pradesh
ཇ་མུ་དང་ཀ་ཤི་མིར།	Jammu en Kasjmir (staat)
རྗར་ཁན་ཌི།	Jharkhand
ཁར་ན་ཀྲ་ཁཱ།	Karnataka
ཀེ་ར་ལཱ།	Kerala
མཱ་ནི་པུར།	Manipur
མོན་ཏཱ་ན།	Montana (staat)
ཝ་ཡོ་མིང་།	Wyoming
ཇེ་རུ་ས་ལེམ།	Jeruzalem
ཝ་ཤིན་ཏྲོན། (རྒྱལ་ཁབ།)	Washington (staat)
ནེ་བ་ད།	Nevada (staat)
ཏོན་གཙང་པོ།	Don (Rusland)
ཝེ་ནེ་ཏོ།	Veneto
ཁོ་སོ་ཝོ།	Kosovo
ཁོ་ལོ་ར་ཌོ།	Colorado (staat)
ཁོ་ལོ་ར་ཌོ་གཙང་པོ།	Colorado (rivier)
Category:རིགས།	Categorie:Alles
ཕི་ལེ་ཟི་ཕ་སི་ཁལ།	Blaise Pascal
མཆོང་སྒྲིག་མིག་མངས།	Dammen
དགུན་ཁ།	Winter
དཔྱིད།	Lente
དབྱར་ཁ།	Zomer
སྟོན་ཁ།	Herfst
སེ་པན་སྐད།	Spaans
མཱོན་ཊི་ཝི་ཌོ།	Montevideo (stad)
ཀ་ལི་ཀུ་ཏ	Calcutta
དྷ་ཁ།	Dhaka (stad)
ཨི་སི་ལམ་བོ།	Islamabad
ཤིང་ཏོག	Vrucht (plant)
དངུལ་ལོར།	Geld
ཝིར་ཇི་ནི་ཡ།	Virginia (staat)
མ་རིས་ལེན་ཌ།	Maryland
དྷེའི་ལ་ཝར།	Delaware
ལེ་ཉིན།	Vladimir Lenin
ཨོ་ཧེའོ།	Ohio (staat)
བིར་སྒྲེལ།	Vergilius
ཕེན་སུལ་ཝེ་ནའི་ཡ།	Pennsylvania
པོ་ཅ་ཆུའུ།	Giovanni Boccaccio
ཨའོ་ཀུའུ་སི་ཏུའུ།	Imperator Caesar Augustus
ནེའུ་ཇེར་སས།	New Jersey
ཨིན་ཌི་ཡཱ་ན།	Indiana
འཇོར་ཇི་ཡ། (ཨ་མེ་རི་ཁ།)	Georgia (staat)
མར་ཁུའུ་སེ་ཨའུ་རེ་ལིའུ་སེ།	Marcus Aurelius
ཛག་རེབ།	Zagreb
ཋེག་ཟ་སི།	Texas (staat)
ཏཱ་མིལ་ན་ཌུ།	Tamil Nadu
ཁ་རོ་ལི་ན་ལྷོ་ཕྱོགས།	South Carolina
སི་ཅི་ལི་ཡ།	Sicilië
མ་ནི་ལ།	Manilla
ལུའུ་ཝར་གཙང་པོ།	Loire (rivier)
སེ་ན་གཙང་པོ།	Seine
པུ་ཨེ་ནོ་སི་ཨས་རི་སི།	Buenos Aires (stad)
མེག་སི་ཀོ་གྲོང་།	Mexico-Stad
ཐོ་ཁེ་ཡོ།	Tokio
བྷར་སེ་ལོ་ནཱ།	Barcelona (Spanje)
ཐང་འབྲས།	Ananas
མི་སི་སི་ཕི།	Mississippi (staat)
མི་སི་སི་ཕི་གཙང་པོ།	Mississippi (rivier)
འབྲས་ལྗོངས།	Sikkim
ཐེན་ནེ་སི།	Tennessee
ཨ་པོའུ་དྷ་པེ།	Abu Dhabi (stad)
ཨ་སི་ཐ་ན།	Astana (stad)
མེག་སི་ཀོ་གསར་མ།	New Mexico
ཨ་ཐེན།	Athene (stad)
པ་ག་ཏ	Bagdad
ཁ་ར་ཁ་སི	Caracas
ཝིས་སི་ཁོན་སིན།	Wisconsin
ཡོ་བ།	Iowa (staat)
གུ་ཝེ་ཐི་མ་ལ་གྲོང་ཁྱེར།	Guatemala-Stad
ཁན་སཱ་སི།	Kansas (staat)
ཧ་ཝན	Havana
རྒྱ་གར་སྐད།	Hindi
ཤོག་དྲིལ་དུ་བ།	Sigaret
ཚོགས་བདག	Ganesha
ལུའི་ཟི་ཨཱན་ནཱ།	Louisiana (staat)
ཨར་ཁན་སཱ་སི།	Arkansas (staat)
ཕའི་ཆིའུ་སྤོ་ལོ།	Volleybal
ཝི་ཨེ་ན།	Wenen
ཁོ་ཕེན་ཧ་ཀེན།	Kopenhagen
སི་ཏོག་ཧོ་ལིམ།	Stockholm
ཧེལ་སིན་ཀི།	Helsinki
དུབ་ལིན།	Dublin
རེཀ་ཇ་བིཀ།	Reykjavik
ཏཱལ་་ལིན།	Tallinn
རི་ག	Riga
བ་ར་ཏིསི་ལ་བ།	Bratislava
བུ་ད་ཕེ་སིད།	Boedapest
ལུ་སེམ་བའུརག (གྲོང་རྡལ།)	Luxemburg (stad)
བ་དུ་ཛི།	Vaduz
གསུང་རབ།	Bijbel (christendom)
སན་མ་རི་ནོ། (གྲོང་རྡལ།)	San Marino (stad)
ཕོམ་ཕེན།	Phnom Penh
ཧོ་ཀྲི་མིན་གྲོང་ཁྱེར།	Ho Chi Minhstad
ཧེ་ནོ།	Hanoi
སྟོན་པ་ཡེ་ཤུའི་ཆོས་ཚོགས།	Ware Jezuskerk
དབྱིན་ཇིའི་སྐད།	Engels
པན་ཀོག	Bangkok
ཨན་ཌོར་ར་གྲོང་ཁྱེར།	Andorra la Vella
