阿非利加洲	Afrika
寧波市	Ningbo
紙鳶	Vliegeren
前二〇一年	201 v.Chr.
前二〇二年	202 v.Chr.
哈爾濱市	Harbin
油	Olie
拓撲學	Topologie
文身	Tatoeage
金融學	Financiën
雲南省	Yunnan
多項式	Polynoom
山東省	Shandong
中南半島	Indochina
天擇	Natuurlijke selectie
地質年代	Geologische tijdschaal
壟斷	Monopolie
河南省	Henan (China)
遼寧省	Liaoning
席德	Rodrigo Díaz de Vivar
刳剔者傑克	Jack the Ripper
前一五六年	156 v.Chr.
列奧尼達一世	Leonidas I van Sparta
前一三九年	139 v.Chr.
前一二二年	122 v.Chr.
前二〇六年	206 v.Chr.
西爾門·拉什迪	Salman Rushdie
前二〇三年	203 v.Chr.
化學鍵	Chemische binding
槍	Speer
前一四一年	141 v.Chr.
僧院	Klooster (gebouw)
白堊紀	Krijt (periode)
前二〇九年	209 v.Chr.
皮薩羅	Francisco Pizarro
點	Punt (wiskunde)
骰子	Dobbelsteen
吉林省	Jilin (provincie)
東海	Oost-Chinese Zee
前二三二年	232 v.Chr.
湖南省	Hunan
青海省	Qinghai
前一九七年	197 v.Chr.
前二〇七年	207 v.Chr.
前一八八年	188 v.Chr.
矢	Pijl (wapen)
前二〇五年	205 v.Chr.
鮨	Sushi
前二〇八年	208 v.Chr.
湖北省	Hubei
山西省	Shanxi
魔方	Rubiks kubus
伊洛瓦底省	Ayeyarwady
貴州省	Guizhou
京都議定書	Kyoto-protocol
聯合國大會	Algemene Vergadering van de Verenigde Naties
乙酸	Azijnzuur
安達曼海	Andamanse Zee
前二〇四年	204 v.Chr.
莊子	Zhuangzi
清孝欽顯皇后	Cixi (keizerin)
陝西省	Shaanxi
Template:共享類	Sjabloon:Commonscat
三八三年	383
德文維基大典	Duitstalige Wikipedia
拋物線	Parabool (wiskunde)
尿素	Ureum
平假名	Hiragana
波斯文維基大典	Perzische Wikipedia
質數	Priemgetal
五七二年	572
南北朝	Zuidelijke en Noordelijke Dynastieën
劉宋	Liu Song-dynastie
吾世	Minecraft
罷工	Staking
李舜臣汝諧	Yi Sun-sin
泰國地方	Provincies van Thailand
中華人民共和國地方	Provincies van China
日本都道府縣	Prefecturen van Japan
氧化物	Oxide
合數	Samengesteld getal
因數	Deler
口琴	Mondharmonica
朝鮮灣	Koreabaai
Template:Taxobox	Sjabloon:Taxobox
繩文時代	Jomonperiode
平行	Evenwijdig
百家姓	Baijiaxing
極品飛車	Need for Speed
海鳥	Zeevogel
閩語	Minyu
江西省	Jiangxi
阿卜杜拉·本·阿卜杜勒-阿齊茲·沙特	Abdoellah bin Abdoel Aziz al-Saoed
寧夏回族自治區	Ningxia
揚州市	Yangzhou
鎮江市	Zhenjiang
哈薩克文維基大典	Kazachse Wikipedia
嘉興市	Jiaxing
金華市	Jinhua
衢州市	Quzhou
台州市	Taizhou (Zhejiang)
舟山市	Zhoushan
石家莊市	Shijiazhuang
亞當與夏娃	Adam en Eva
珠海	Zhuhai
韶關市	Shaoguan
東莞市	Dongguan
俄羅斯正教會	Russisch-orthodoxe Kerk
鯢	Chinese reuzensalamander
空師	Luchtmacht
大名	Daimyo
苗栗縣	Miaoli (xiàn)
色盲檢測圖	Ishiharatest
威氏鷸	Amerikaanse watersnip
哈布斯堡氏	Huis Habsburg
中央銀行	Centrale bank
福州市	Fuzhou (Fujian)
南平市	Nanping
莆田市	Putian
三明市	Sanming
泉州市	Quanzhou
廈門市	Xiamen
漳州市	Zhangzhou
龍岩市	Longyan
寧德市	Ningde
西寧市	Xining
西遊記	De reis naar het westen
三國演義	Roman van de Drie Koninkrijken
水滸傳	Verhaal van de wateroever
鄂州市	Ezhou
福島縣	Fukushima (prefectuur)
豬油	Reuzel
新竹縣	Hsinchu (xiàn)
鞍山市	Anshan (Liaoning)
羅馬治世	Pax Romana
克羅內克	Leopold Kronecker
康托爾	Georg Cantor
戴德金	Richard Dedekind
寒武紀	Cambrium
十六元數	Sedenion
神聖羅馬皇帝腓特烈一世	Keizer Frederik I Barbarossa
前三八七年	387 v.Chr.
盲文	Braille
千葉縣	Chiba (prefectuur)
賽珍珠	Pearl S. Buck
聯合國秘書長	Secretaris-generaal van de Verenigde Naties
龐加萊	Henri Poincaré
西北水道	Noordwestelijke Doorvaart
十進制	Decimaal
烯烴	Alkeen
皇祚	Kimigayo
氣壓	Luchtdruk
箸	Eetstokjes
南投縣	Nantou (xiàn)
標點符號	Interpunctie
片假名	Katakana
民之旨	Jana-Gana-Mana
臺北一零一	Taipei 101
化學式	Molecuulformule
波斯	Perzische Rijk
群 (代數)	Groep (wiskunde)
三十六計	De 36 krijgslisten
三角函數	Goniometrische functie
六四事件	Tiananmenprotest
趙紫陽	Zhao Ziyang
胡耀邦	Hu Yaobang
安樂死	Euthanasie
姓氏	Achternaam
醛	Aldehyde
規	Passer (gereedschap)
物質之量	Stofhoeveelheid
平安北道	P'yŏngan-pukto
咸鏡南道	Hamgyŏng-namdo
島國	Eilandstaat
華山	Hua Shan
桃園市	Taoyuan (xiàn)
尺規作圖	Constructie met passer en liniaal
京都府	Kioto (prefectuur)
絕對值	Absolute waarde
羅賓漢	Robin Hood
表數法	Talstelsel
大阪府	Osaka (prefectuur)
瑪瑙	Agaat (variëteit)
愛媛縣	Ehime
圓錐曲線	Kegelsnede
海平面	Zeeniveau
羅馬皇帝表	Lijst van Romeinse keizers
矢量空間	Vectorruimte
距	Afstand
臺灣海峽	Straat van Taiwan
山口縣	Yamaguchi (prefectuur)
市盈率	Koers-winstverhouding
神奈川縣	Kanagawa (prefectuur)
中國地方	Chugoku
長野縣	Nagano (prefectuur)
殷商	Shang-dynastie
色諾芬	Xenophon
兵庫縣	Hyogo (prefectuur)
廣州恆大淘寶蹴鞠會	Guangzhou Evergrande FC
關係 (數學)	Tweeplaatsige relatie
等價	Equivalentierelatie
主格	Nominatief
泰國灣	Golf van Thailand
螳螂	Bidsprinkhanen
維基大典:書海	Wikipedia:Boekinformatie
征夷大將軍	Shogun (titel)
春節	Chinees nieuwjaar
切腹	Seppuku
色盲	Kleurenblindheid
彰化縣	Changhua (xiàn)
阿什莫爾島與卡捷島	Ashmore- en Cartiereilanden
農曆	Chinese kalender
可樂	Cola
高知縣	Kochi (prefectuur)
道德經	Tao Te Ching
萬有引力	Gravitatiewet van Newton
坐標幾何	Analytische meetkunde
芬瑟島	Fraser Island
蹴鞠	Cuju
臺南市	Tainan (stad)
與格	Datief
摩爾質量	Molaire massa
滿洲族	Mantsjoes
義大利半島	Apennijns Schiereiland
汽水	Frisdrank
天象館	Planetarium
岳陽市	Yueyang
李斯	Li Si
雲林縣	Yunlin
碗	Kom (servies)
全等	Congruentie (meetkunde)
義勇軍進行曲	Mars van de vrijwilligers
數理物理	Wiskundige natuurkunde
紅花	Saffloer
庖人	Kok (beroep)
大正天皇	Yoshihito
主義	Isme
毛納洛峰	Mauna Loa
富牌國際機場	Internationale Luchthaven Phu Bai
修道院	Abdij
符節	Wachtwoord
環 (代數)	Ring (wiskunde)
環球小姐	Miss Universe
香川縣	Kagawa (prefectuur)
曲線	Kromme
白求恩	Norman Bethune
平面幾何	Euclidische meetkunde
葉問	Yip Man
基數	Kardinaalgetal
二元運算	Binaire operatie
餘弦定理	Cosinusregel
新幹線	Shinkansen
雙曲線	Hyperbool (meetkunde)
星際爭霸	StarCraft
反射	Reflectie (straling)
嘉義縣	Chiayi (xiàn)
形意拳	Xing Yi Quan
近視	Bijziendheid
代數數	Algebraïsch getal
夏后氏	Xia-dynastie
連續	Continue functie (topologie)
教廷諸屬國	Kerkelijke Staat
濟南市	Jinan
十一月革命	Novemberrevolutie
中國抗日戰爭	Tweede Chinees-Japanse Oorlog
青島市	Qingdao
PSP	PlayStation Portable
葛利斯五八一丙	Gliese 581 c
官能團	Functionele groep
世氣公會	Wereld Meteorologische Organisatie
見即所得	Wysiwyg
新西班牙代王領	Nieuw-Spanje
織田信長	Oda Nobunaga
向日葵	Zonnebloem
南昌市	Nanchang
玫瑰之名	De naam van de roos
幾何原本	Elementen van Euclides
米高·哥連斯	Michael Collins (Iers politicus)
金本位	Gouden standaard (economie)
直積	Cartesisch product
艾狄胥	Paul Erdős
四元數	Quaternion
長沙市	Changsha
有機化合物	Organische verbinding
明治天皇	Meiji (keizer)
源實朝	Minamoto no Sanetomo
蜉蝣	Haften
伊藤博文	Ito Hirobumi
絞刑	Ophanging (levensbeëindiging)
門:史	Portaal:Geschiedenis
電極	Elektrode
阿拉伯數字	Arabisch-Indische cijfers
股骨	Dijbeen
子集	Deelverzameling
海東青	Giervalk
日文維基大典	Japanse Wikipedia
繁體字	Traditionele Chinese karakters
甲午戰爭	Eerste Chinees-Japanse Oorlog
哈丹格爾小提琴	Hardangerviool
克里希那穆提	Jiddu Krishnamurti
宦官	Eunuch
選擇公理	Keuzeaxioma
行星環	Planetaire ring
青藏高原	Tibetaans Hoogland
拓撲空間	Topologische ruimte
古文書	Paleografie
數學符表	Lijst van wiskundige symbolen
錫克金廟	Harmandir Sahib
卡奔塔利亞灣	Golf van Carpentaria
度量空間	Metrische ruimte
千分比	Promille
交換群	Abelse groep
高雄市	Kaohsiung
華盛頓歐文	Washington Irving
易經	Boek der Veranderingen
弩	Kruisboog
渤海	Bohaizee
甑帶瘡	Gordelroos
西楚霸王	Xiang Yu
戰艦	Slagschip
人魚	Zeemeermin
海倫公式	Formule van Heron
昆明市	Kunming
天氣預報	Weerbericht
人蔘	Panax ginseng
回族	Hui (volk)
蘭州市	Lanzhou
期貨	Future
鰂	Zeekatten (inktvissen)
林則徐	Lin Zexu
三國	Drie Koninkrijken (China)
春秋時代	Periode van Lente en Herfst
戰國	Periode van de Strijdende Staten
名偵探柯南	Detective Conan
區間	Interval (wiskunde)
清宣統帝	Puyi
併集	Vereniging (verzamelingenleer)
簡化字	Vereenvoudigde Chinese karakters
合肥市	Hefei
交集	Doorsnede (verzamelingenleer)
常染色體	Autosoom
啓	Xia Qi
簡歷	Curriculum vitae
蝴蝶效應	Vlindereffect
豐臣秀吉	Toyotomi Hideyoshi
假名	Kana (Japans)
民律大全	Corpus Iuris Civilis
白鱀豚	Chinese vlagdolfijn
弦	Koorde
平昌郡	Pyeongchang
泰國國際航空	Thai Airways International
北九州市	Kitakyushu
匈奴	Xiongnu
孟子	Mencius
桂林市	Guilin
海口市	Haikou
無機化合物	Anorganische verbinding
域 (代數)	Lichaam (Ned) / Veld (Be)
海拔	Hoogte
挪威廣播公司	Norsk Rikskringkasting
中原	Zhongyuan
道	Tao (filosofie)
世界語維基大典	Esperanto Wikipedia
刺身	Sashimi
中泰國	Centraal-Thailand
高錳酸鉀	Kaliumpermanganaat
鴉片戰爭	Eerste Opiumoorlog
魔鬼之詩篇	De duivelsverzen
有序對	Koppel (wiskunde)
金屬鍵	Metaalbinding
書面挪威語維基大典	Noorse Wikipedia
序數	Ordinaalgetal
南京大屠殺	Bloedbad van Nanking
吳廷琰	Ngô Đình Diệm
複式記帳	Dubbel boekhouden
麵	Noedels
路易斯安那購地案	Aankoop van Louisiana
扇	Waaier (ventilatie)
平安時代	Heianperiode
旦	Zonsopkomst
韓信點兵	Chinese reststelling
梅涅勞斯定理	Stelling van Menelaos
無窮小	Infinitesimaal
屏東縣	Pingtung (xiàn)
彰化市	Changhua
單鏡筒反光相機	Spiegelreflexcamera
雙城子	Oessoeriejsk
張飛	Zhang Fei
張衡	Zhang Heng
張居正	Zhang Juzheng
張騫	Zhang Qian
張三丰	Zhang Sanfeng
張仲景	Zhang Zhongjing
趙 (釋義)	Zhao
趙	Zhao (staat)
鄭成功	Koxinga
周瑜	Zhou Yu
諸葛亮	Zhuge Liang
烏克蘭語維基大典	Oekraïense Wikipedia
阿拉伯文維基大典	Arabische Wikipedia
金孟加拉	Amar Sonar Bangla
希伯來文維基大典	Hebreeuwse Wikipedia
洞里薩湖	Tonlé Sapmeer
賈姆謝德布爾	Jamshedpur
越南文維基大典	Vietnamese Wikipedia
負數	Negatief getal
中醫	Traditionele Chinese geneeskunde
高松市	Takamatsu
提格兰二世	Tigranes II
珠江	Parelrivier
泰西格致史	Wetenschapsgeschiedenis
五帝	Traditionele Chinese opvatting over de oudste Chinese geschiedenis
瑪格麗特一世	Margaretha I van Denemarken
日本國會	Kokkai
先哥倫布	Precolumbiaans
彼得一世島	Peter I-eiland
墓碑	Grafsteen
十二銅表法	Twaalftafelenwet
漢魏武王	Cao Cao
斬首	Onthoofding
垂直	Loodrecht (meetkunde)
無窮集合	Oneindige verzameling
冪集	Machtsverzameling
魚鉤	Vishaak
齊齊哈爾市	Qiqihar
椰蟹	Kokoskrab
俄文維基大典	Russische Wikipedia
平行公理	Parallellenpostulaat
春武里府	Changwat Chonburi
西線無戰事	Van het westelijk front geen nieuws
嘧啶	Pyrimidine
泰王國歌	Phleng Chat
冬至	Kortste dag
中國中央電視臺	China Central Television
圖蘭朵	Turandot (opera)
巴列維王朝	Pahlavidynastie
天皇	Keizer van Japan
熱帶雨林氣候	Tropisch regenwoudklimaat
袁世凱	Yuan Shikai
北海市	Beihai
袋鼠島	Kangaroo Island
阮世祖	Gia Long
君士坦丁堡普世宗主教區	Oecumenisch patriarchaat van Constantinopel
辛普生沙漠	Simpsonwoestijn
雷曼兄弟公司	Lehman Brothers
娜塔莎·北鼎斐	Natasha Bedingfield
開集	Open verzameling
測地線	Geodeet (wiskunde)
塞瓦定理	Stelling van Ceva
健陀羅	Gandhara
愛爾蘭共和國總統	President van Ierland
內積空間	Inwendig-productruimte
金奎植	Kim Kyu-sik
江戶	Edo (Japan)
金九	Kim Gu
泰山	Taishan (berg)
荀況	Xunzi
九江市	Jiujiang
占婆	Koninkrijk Champa
倒數	Omgekeerde
黃道兇賊	Zodiac Killer
陰陽五行	Wu Xing
盧溝橋事變	Marco Polobrugincident
關羽	Guan Yu
龜	Schildpadden
阮福晪	Bảo Đại
元 (釋義)	Yuan
空集	Lege verzameling
祖沖之	Zu Chongzhi
羅馬 (釋義)	Roma
左氏春秋	Commentaar van mijnheer Zuo op de Lente- en herfstannalen
瀨戶內海	Japanse Binnenzee
自由民主黨	Liberaal-Democratische Partij van Japan
環	Loop
利瑪竇	Matteo Ricci
原富	The Wealth of Nations
技術分析	Technische analyse
哆啦A夢	Doraemon
宋卡府	Changwat Songkhla
甲米府	Changwat Krabi
拉廊府	Changwat Ranong
伏羲	Fuxi
宜蘭縣	Yilan (xiàn)
法家	Legalisme (Chinese filosofie)
九龍	Kowloon
素叻府	Changwat Surat Thani
桐艾府	Changwat Trat
五代	Vijf Dynastieën en Tien Koninkrijken
森理世	Riyo Mori
補集	Complement (verzamelingenleer)
靖國神社	Yasukuni-schrijn
博他侖府	Changwat Phattalung
鹽田	Zoutpan
班武里府	Changwat Prachuap Khiri Khan
洛坤府	Changwat Nakhon Si Thammarat
春蓬府	Changwat Chumphon
新北市	Nieuw Taipei
臺中市	Taichung
漢昭烈皇帝	Liu Bei
三國志	Kroniek van de Drie Rijken
邁克學搖滾	Michael Learns to Rock
花蓮縣	Hualien (xiàn)
金門縣	Kinmen
臺東縣	Taitung (xiàn)
新竹市	Hsinchu
嘉義市	Chiayi
基隆市	Keelung
副省級市	Subprovinciale stad
從眾	Argumentum ad populum
牢不可破之聯盟	Volkslied van de Sovjet-Unie
相似	Gelijkvormigheid (meetkunde)
年號	Nian Hao
分離 (拓撲)	Gescheiden verzameling
大韓高宗	Gojong van Joseon
語序	Woordvolgorde
摩托羅拉	Motorola
賢哲賽義巴巴	Shirdi Sai Baba
雪景球	Sneeuwbol
淨土宗	Zuiver Land-boeddhisme
聖德太子	Shotoku Taishi
沈括	Shen Kuo
懿德天皇	Itoku
史記	Shiji
早稻田大學	Waseda-universiteit
孫吳	Koninkrijk Wu
論語	Gesprekken van Confucius
姜維	Jiang Wei
平清盛	Taira no Kiyomori
創意公用授權條款	Creative Commons-licenties
海寧市	Haining
小野田寬郎	Hiroo Onoda
清太宗	Hong Taiji
推古天皇	Suiko
清德宗	Guangxu
鎖國	Isolationisme
戈登	Charles George Gordon
清世祖	Shunzhi
清太祖	Nurhaci
進數	P-adisch getal
卡拉卡拉敕令	Constitutio Antoniniana
明智光秀	Akechi Mitsuhide
綏靖天皇	Suizei
阮攸	Nguyễn Du
吳大帝	Sun Quan
屈原	Qu Yuan
魏世祖文皇帝	Cao Pi
神農	Shennong
安寧天皇	Annei
發勃耳	Jean-Henri Fabre
張國榮	Leslie Cheung
後醍醐天皇	Go-Daigo
桓武天皇	Kammu
林彪	Lin Biao
清世宗	Yongzheng
呂布	Lü Bu
鴨脷洲	Ap Lei Chau
清穆宗	Tongzhi
王安石	Wang Anshi
拓撲閉包	Afsluiting (topologie)
閉集	Gesloten verzameling
閉開集	Clopen verzameling
曹魏	Koninkrijk Wei
作格	Ergatief
尖竹汶府	Changwat Chantaburi
陳省身	Shiing-Shen Chern
第十五屆亞洲運動會	Aziatische Spelen 2006
基斯孔哈拉斯	Kiskunhalas
覆蓋	Overdekking (topologie)
竭澤而漁	Overbevissing
通格	Absolutief
清仁宗	Jiaqing
正親町天皇	Ogimachi
董卓	Dong Zhuo
孫臏	Sun Bin
大韓純宗	Sunjong van Korea
婆羅多舞	Bharata natyam
朝鮮世祖	Sejo van Joseon
清宣宗	Daoguang
岳飛	Yue Fei
清文宗	Xianfeng
北柳府	Changwat Chachoengsao
羅勇府	Changwat Rayong
袁紹	Yuan Shao
阮景宗	Dong Khanh
司馬懿	Sima Yi
福澤諭吉	Fukuzawa Yukichi
安慶市	Anqing
安祿山	An Lushan
六安市	Lu'an
呂不韋	Lü Buwei
陳獨秀	Chen Duxiu
蒂邁歐篇	Timaeus (Plato)
魏 (釋義)	Wei
藤原定家	Fujiwara no Teika
夏侯惇	Xiahou Dun
曹仁	Cao Ren
坂本龍馬	Sakamoto Ryoma
王守仁	Wang Yangming
魏烈祖明皇帝	Cao Rui
朝鮮太祖	Taejo van Joseon
陸遜	Lu Xun (Wu)
李鴻章	Li Hongzhang
王羲之	Wang Xizhi
康托爾悖論	Paradox van Cantor
中秋	Midherfstfestival
光中帝	Quang Trung (keizer)
梁啟超	Liang Qichao
孫策	Sun Ce
墓	Graftombe
沙繳府	Changwat Sa Kaew
緊集	Compacte ruimte
依善	Isaan
冒頓單于	Mao Dun (heerser)
成都雙流國際機場	Internationale luchthaven Chengdu Shuangliu
發翔羽	Slagpen
赤腹蠑螈	Vuurbuiksalamander
南陽市	Nanyang
臺南	Tainan
南投	Nantou
秋葉原	Akihabara
虹吸	Hevel
南充市	Nanchong
北條時宗	Hojo Tokimune
阮聖祖	Minh Mạng
董仲舒	Dong Zhongshu
阮出帝	Ham Nghi
托勒密定理	Stelling van Ptolemaeus
丸龜市	Marugame
鄧麗君	Teresa Teng
殷墟	Yinxu
阮福昭	Thành Thái
夏帝履癸	Xia Jie
詩經	Boek der Liederen
阮福晃	Duy Tan
秋瑾	Qiu Jin
阮簡宗	Kien Phuc
阮福昇	Hiệp Hòa (keizer)
自斷	Autotomie
戈公省	Koh Kong (provincie)
效用	Nut (economie)
阮翼宗	Tự Đức
大月氏	Yuezhi
吳三桂	Wu Sangui
周公旦	Hertog van Zhou
阮弘宗	Khải Định
漢後主	Liu Shan
齊桓公	Huan (hertog)
商湯	Shang Tang
偏序	Partiële orde
康托爾定理	Stelling van Cantor
新山一國際機場	Internationale Luchthaven Tân Sơn Nhất
朝鮮半島	Koreaans Schiereiland
電車	Elektrisch treinstel
和服	Kimono
遜尼派	Soennisme
朝鮮宣祖	Seonjo van Joseon
朝鮮孝宗	Hyojong van Joseon
哥德巴赫猜想	Vermoeden van Goldbach
三國遺事	Samguk Yusa
三國史記	Samguk Sagi
朝鮮漢字	Hanja
國會議員	Parlementslid
摩爾體積	Molair volume
傲遊瀏覽器	Maxthon
復旦大學	Fudan-universiteit
朝鮮王朝實錄	Joseon Wangjo Sillok
廣開土王	Gwanggaeto de Grote
韓國放送公社	Korean Broadcasting System
涼宮春日系列	The Melancholy of Haruhi Suzumiya
莎阿南	Shah Alam (stad)
玉山	Yu Shan
大嶼山	Lantau
楚	Chu (staat)
梅爾維爾島	Melville-eiland (Australië)
新	Xin-dynastie
北太平洋露脊鯨	Grote oceaannoordkaper
海北藏族自治州	Haibei (autonome Tibetaanse prefectuur)
中庸	Doctrine van het Midden
中國禮儀之爭	Ritenstrijd
鳳凰	Feng Huang
阮恭宗	Duc Duc
阮憲祖	Thieu Tri
吳清源	Go Seigen
塔如濤群島	Nationaal park Tarutao
真言宗	Shingon
初音未來	Hatsune Miku
餛飩	Wantan
超濾法	Ultrafiltratie
曹真	Cao Zhen (generaal)
吉田松陰	Yoshida Shoin
泰文維基大典	Thaise Wikipedia
猫眼林克	Link (The Legend of Zelda)
蘇通長江大橋	Sutongbrug
尼奧寵物	Neopets
包頭市	Baotou
板橋區	Banqiao
大化革新	Taika
文天祥	Wen Tianxiang
呂正操	Lü Zhengcao
壬辰倭亂	Japanse invasies van Korea (1592-1598)
魏鄧哀王	Cao Chong
出雲國	Izumo (provincie)
新界	New Territories
三字經	Sanzijing
午餐肉	Spam (vlees)
呂底亞	Lydië
自焚	Zelfverbranding
廬山	Lushan
老撾之歌	Pheng Xat Lao
夏禹	Yu de Grote
藤原氏	Fujiwara (familie)
漢 (釋義)	Han
杭思朗	Armstrong
馬步芳	Ma Bufang
香港語言學學會粵語拼音方案	Jyutping
水龍頭	Kraan (regelaar)
子拓撲	Deelruimtetopologie
廣州地鐵	Metro van Kanton
車裂	Vierendeling
嘉定區	Jiading (district)
金山區	Jinshan (district)
性染色體	Geslachtschromosoom
斗六市	Douliu
算術基本定理	Hoofdstelling van de rekenkunde
存活期	Time to live
稠密	Dichte verzameling
崑曲	Kunqu
流亡政府	Regering in ballingschap
古魯特島	Groote Eylandt
中文數字	Chinese cijfers
天主教輔仁大學	Universitas Catholica Fu Jen
武器貿易條約	Wapenhandelsverdrag
龜船	Geobukseon
永樂大典	Yongle dadian
諡	Naamgeving van Chinese keizers
魏陳思王	Cao Zhi
吳起	Wu Qi
周文王	Zhou Wenwang
李時珍	Li Shizhen
東沙	Prataseilanden
陳勝	Chen Sheng
杭州灣	Hangzhoubaai
高雄捷運	Metro van Kaohsiung
和珅	Heshen
韓服	Hanbok
臺灣高速鐵路	Taiwan High Speed Rail
吳廣	Wu Guang
林尚義	Lam Sheung-Yee
張九齡	Zhang Jiuling
世界新七大奇蹟	New7Wonders of the World
屏東市	Pingtung
季羨林	Ji Xianlin
清明上河圖	Langs de rivier tijdens het Qingmingfestival
臺北捷運	Metro van Taipei
延邊州	Autonome Koreaanse Prefectuur Yanbian
崔顥	Cui Hao
桃園區	Taoyuan (stad)
李悝	Li Kui
攀牙灣	Baai van Phang Nga
色戒	Se, jie
日本雅樂	Gagaku
清明	Qingmingfestival
帝嚳	Diku
印地文維基大典	Hindi Wikipedia
琴	Guqin
範空間	Genormeerde vectorruimte
有界	Begrensdheid
鎮	Grote gemeente
梁武帝	Liang Wudi
魯	Lu (staat)
倫敦東隅	East End (Londen)
申 (地支)	Aap (astrologie)
歐羅巴	Europa
八元數	Octonion
結合代數	Associatieve algebra
春秋	Lente- en herfstannalen
地級市	Stadsprefectuur
泰北	Noord-Thailand
黃巾之亂	Gele Tulbandenopstand
沖繩縣	Okinawa (prefectuur)
崇明縣	Chongming
百度大典	Baidu Baike
基 (拓撲)	Basis (topologie)
二虎歌	Vader Jacob
赤壁之戰	Slag bij de Rode Muur
超複數	Hypercomplex getal
奧海鎮	Ojai
博者之謬	Gokkersmisvatting
古雅典	Oude Athene
漢傳佛教	Boeddhisme in China
渭水	Wei He
阿巴諾湖	Meer van Albano
康熙字典	Kangxi-woordenboek
證明論	Bewijstheorie
石	Koku
坂出市	Sakaide
族 (數學)	Geïndexeerde familie
仡佬族	Gelao
光圈	Diafragmagetal
禮記	Optekeningen over de riten
內點	Inwendige (topologie)
州際三十五號公路大橋	I-35W Mississippi River Bridge
北魏	Noordelijke Wei-dynastie
尚書	Boek der Documenten
雲隙光	Wolkenstralen
康威數	Surreëel getal
喃字	Chữ Nôm
天命	Hemels Mandaat
周界	Rand (topologie)
陸奧國	Mutsu (provincie)
東方計劃	Touhou Project
分液漏斗	Scheitrechter
晉國	Jin (staat)
魏	Wei (staat)
單連通	Enkelvoudig samenhangende ruimte
吳	Wu (staat)
藁人之謬	Stropopredenering
地球之年歲	Ouderdom van de Aarde
弗林德斯島 (塔斯曼尼亞)	Flinderseiland
曼谷大橋	Krungthep-brug
馬拉浦南	Malappuram (stad)
陸上風帆	Zeilwagenrijden
呂範	Lü Fan
景教	Kerk van het Oosten
代數 (代數)	Algebra (structuur)
羅勇市	Rayong (stad)
儋州市	Danzhou
維克多港	Victor Harbor
固始縣	Gushi (Henan)
臨安市	Lin'an
新會區	Xinhui
卡羅萊納箱龜	Carolina-doosschildpad
凌遲	Dood door duizend sneden
周公季	Ji van Zhou
美洲殖民	Geschiedenis van de Verenigde Staten (1607-1763)
燕	Yan (staat)
陸皓東	Lu Haodong
周武王	Zhou Wuwang
元維基	Meta-Wiki
去衣馳騁	Streaker
宋	Song (staat)
頌聖歌	Phleng Sansasoen Phra Barami
加藤清正	Kato Kiyomasa
泰南	Zuid-Thailand
五刑	Vijf straffen
大學	Grote Leer
閣帕岸島	Ko Pha Ngan
積拓撲	Producttopologie
縣級市	Stadsarrondissement
祁連山	Qilian Shan
厓山海戰	Slag bij Yamen
韓國	Korea (doorverwijspagina)
亞米利加蝲蛄	Rode rivierkreeft
公羊傳	Commentaar van Gongyang op de Lente- en herfstannalen
穀梁傳	Commentaar van Guliang op de Lente- en herfstannalen
藏學	Tibetologie
天子	Zoon van de Hemel
衛	Wey (staat)
三淸	San Qing
香港電台	RTHK
人民公社	Volkscommune
麻貴	Ma Gui
共形場論	Conforme veldentheorie
周幽王	Zhou Youwang
孟姜女	Mengjiangnü
孟子 (書)	De Mencius
零號元素	Neutronium
他彼河	Ta Pee
零零七島	Khao Phing Kan
吐谷渾	Tuyuhun
關門大橋	Kammonbrug
六朝	Zes Dynastieën
維基大典:大使館	Wikipedia:Ambassade
爾雅	Erya
旺角	Mong Kok
荊州	Jing
儀禮	Regels en riten
分數	Rationaal getal
紅統群島	Ang Thong National Marine Park
千字文	Qianziwen
周赧王	Nanwang
有司足下之函	Dear Boss-brief
翹傳	Truyện Kiều
古丁尼柏國家公園	Nationaal park Quttinirpaaq
泰王國股票交易所	Effectenbeurs van Thailand
乾燥氣候	Droog klimaat
沙繳市	Sa Kaew (stad)
周禮	Riten van Zhou
孝經	Boek van de kinderlijke gehoorzaamheid
拾穗	Arenleessters
神位	Shenzhupai
動物莊園	Animal Farm
Category:德國史	Categorie:Duitsland
Category:俄羅斯聯邦書	Categorie:Rusland
Category:大韓民國書	Categorie:Zuid-Korea
Category:羅馬帝國書	Categorie:Romeinse Rijk
Category:鳥	Categorie:Vogel
Category:植物	Categorie:Plant
Category:物理	Categorie:Natuurkunde
Category:自然科學	Categorie:Natuurwetenschappen
Category:化學	Categorie:Scheikunde
Category:史部	Categorie:Geschiedenis
Category:群	Categorie:Mens en maatschappij
Category:宗教	Categorie:Religie
Category:運動	Categorie:Sport
Category:經部	Categorie:Wetenschap
Category:聯合國	Categorie:Verenigde Naties
Category:地球	Categorie:Aarde
盈不足術	Regula falsi
維曼默宮	Vimanmekpaleis
道路連通	Samenhang
泰國軍人銀行	TMB Bank
韓	Han (staat)
昂船洲大橋	Stonecuttersbrug
桿秤	Unster
堪洽那披色大橋	Kanchanaphisek-brug
古羅馬	Oude Rome
政令指定都市	Decretaal gedesigneerde stad
羲和	Xihe
聖火降魔錄	Fire Emblem
夏侯氏	Xiahou
二十四孝	De 24 voorbeelden van xiao
多頭	Long gaan
不寐	Slapeloosheid
