Aphrika	Afrika
Musambik	Mozambique
Namiwya	Namibië
Niqir	Niger (land)
Niqirya	Nigeria
Charles Darwin	Charles Darwin
Uganda	Oeganda
Rwanda	Rwanda
Sirkonyu	Zirkonium
Santu Tumiy Prinsipipas	Sao Tomé en Principe
Sinigal	Senegal
Sichillakuna	Seychellen
Carl von Linné	Carolus Linnaeus
Liyun Urqu	Sierra Leone
Sumalya	Somalië
Niyobyu	Niobium
Jawaharlal Nehru	Jawaharlal Nehru
Gaius Iulius Caesar	Julius Caesar
Sudan	Soedan
Swasisuyu	Swaziland
K'uychi	Regenboog (optica)
Molibdenu	Molybdeen
Teknesyu	Technetium
Hamburg	Hamburg
Imayay yamkiy	Stofwisseling
Unquy hark'ay	Immuunsysteem
Ontario qucha	Ontariomeer
Rikch'aqyay	Evolutie (biologie)
Huñusqa Nasyunkuna	Verenigde Naties
Hananqucha	Bovenmeer
Dante Alighieri	Dante Alighieri
Allpa saywachi	Aardrijkskunde
Sunqu	Hart
Ñutqu	Hersenen
Qara	Huid
Llimphi	Kleur
Salerno	Salerno (stad)
Sutirimana	Zelfstandig naamwoord
Praha	Praag
Ruthenyu	Ruthenium
Rodyu	Rhodium
Anqas	Blauw (kleur)
Paladyu	Palladium (element)
Qullqi q'illay	Zilver
Kadmiyu	Cadmium
Limburg (Urasuyu) pruwinsya	Limburg (Nederland)
Indyu	Indium
Chayanta	Tin (element)
Uranyu	Uranium
Antimunyu	Antimoon
Teluryu	Telluur
Noord-Brabant pruwinsya	Noord-Brabant
Plutonyu	Plutonium
Yudu	Jodium (element)
Neptunyu	Neptunium
Senun	Xenon
Anime	Anime
Sesyu	Cesium
Protaktinyu	Protactinium
Pinchikilla chaqna	Elektrische lading
Baryu	Barium
Thoryu	Thorium
Hafniyu	Hafnium
Aktinyu	Actinium
Tantalyu	Tantaal
Bill Clinton	Bill Clinton
Radyu q'illay	Radium
Radun	Radon (element)
Lorraine	Lotharingen (Frankrijk)
Alsace	Elzas
Jean-Philippe Rameau	Jean-Philippe Rameau
Indira Gandhi	Indira Gandhi
Auvergne	Auvergne
Busto Arsizio	Busto Arsizio
Mumbai	Bombay
Andhra Pradesh	Andhra Pradesh
Michigan suyu	Michigan
Michigan qucha	Michiganmeer
Bourgogne	Bourgondië (regio)
Aquitaine	Aquitanië
Burinkin	Puerto Rico
Limousin	Limousin
Schleswig-Holstein	Sleeswijk-Holstein
Mecklenburg-Vorpommern	Mecklenburg-Voor-Pommeren
Niedersachsen	Nedersaksen
Nordrhein-Westfalen	Noordrijn-Westfalen
Hessen	Hessen
Rheinland-Pfalz	Rijnland-Palts
Saarland	Saarland
Sachsen	Saksen (deelstaat)
John Lennon	John Lennon
Illinois suyu	Illinois (staat)
Thüringen	Thüringen (deelstaat)
Sachsen-Anhalt	Saksen-Anhalt
North Dakota suyu	North Dakota
Brandenburg	Brandenburg (deelstaat)
Bremen suyu	Vrije Hanzestad Bremen
Lombardia	Lombardije
South Dakota suyu	South Dakota
Montana suyu	Montana (staat)
Wyoming suyu	Wyoming
Piemonte	Piëmont
Yerushalayim	Jeruzalem
Idaho suyu	Idaho
Washington suyu	Washington (staat)
Rutherfordyu	Rutherfordium
Nevada suyu	Nevada (staat)
Dubniyu	Dubnium
Seaborgyu	Seaborgium
Trentino Urin Tirul	Trentino-Zuid-Tirol
Indiku mama qucha	Indische Oceaan
Luigi Einaudi	Luigi Einaudi
