非洲	Afrika
Voronezh-chû	Oblast Voronezj
Sû-mùn-tap-lia̍p	Sumatra
Lipetsk-chû	Oblast Lipetsk
Van-tan-sén	Bantam (provincie)
Chûng Cháu-ôa-sén	Midden-Java
Fùi-sên	Komeet
Rostov-chû	Oblast Rostov
Tûng Cháu-ôa-sén	Oost-Java
Ngâ-kâ-tha̍t Sú-tû Thi̍t-khî	Jakarta
Sî Cháu-ôa-sén	West-Java
Adygea Khiung-fò-koet	Adygea
Ngit-ngiâ Thi-fông Thi̍t-khî	Jogjakarta
Gera	Gera (stad)
Maykop	Majkop
Cháu-ôa-tó	Java (eiland)
Kâ-lî-man-tân-chû	Kalimantan
Séu Sùn-thâ Khiùn-tó	Kleine Soenda-eilanden
Sû-lâ-vî-sî-tó	Celebes
Mô-lu̍k-kâ Khiùn-tó	Molukken
Chûng Kâ-lî-man-tân-sén	Midden-Kalimantan
Tûng Kâ-lî-man-tân-sén	Oost-Kalimantan
Nàm Kâ-lî-man-tân-sén	Zuid-Kalimantan
Kâ-li-sî-â	Galicië (Spanje)
Sî Kâ-lî-man-tân-sén	West-Kalimantan
Thai-ho̍k	Universiteit
Pretoria	Pretoria
Chok-khiù	Tafeltennis
Â-sṳ̂-thù-lî-â-sṳ̂	Asturië (regio)
Wikipedia:Sandbox	Wikipedia:Zandbak
Astrakhan-chû	Oblast Astrachan
Kham-thap-pu-lî-â	Cantabrië
Kalmykia Khiung-fò-koet	Kalmukkië
Weimar	Weimar (Thüringen)
Osasco	Osasco (Brazilië)
Â-là-kung	Aragón (regio)
Kak-là-sṳ̂-kô	Glasgow
Thùng-hói Kî-chhòng	Luchthaven Đồng Hới
Vú-lîn-ngièn Fûng-kín Miàng-sṳn-khî	Wulingyuan
分類:Thòi-vân li̍t-sṳ́	Categorie:Geschiedenis van Taiwan
Curitiba	Curitiba (gemeente)
Chloë Grace Moretz	Chloë Grace Moretz
Khûng-chṳ́	Confucius
Corbin Bleu	Corbin Bleu
分類:Sṳ-ho̍k	Categorie:Wiskunde
分類:Ngìn-kûng ngî-ngièn	Categorie:Kunsttaal
Pâ-lî-sén	Bali (eiland)
Mî-kîm	Amerikaanse dollar
Thi-chûng-hói	Middellandse Zee
Hông-chû-sṳ	Hangzhou
Kî-tuk-kau	Christendom
Tûng Nú-sâ Tên-kâ-là-sén	Oost-Nusa Tenggara
Sî Nú-sâ Tên-kâ-là-sén	West-Nusa Tenggara
Chûng Sû-lâ-vî-sî-sén	Midden-Celebes
Kô-lùn-tá-lo̍k-sén	Gorontalo (provincie)
Pet Sû-lâ-vî-sî-sén	Noord-Celebes
Tûng-nàm Sû-lâ-vî-sî-sén	Zuidoost-Celebes
Nàm Sû-lâ-vî-sî-sén	Zuid-Celebes
Sî Sû-lâ-vî-sî-sén	West-Celebes
Vò-é	Rijst
Mâ-lû-kú-sén	Maluku (provincie)
Pet Mâ-lû-kú-sén	Noord-Molukken
Pâ-pu-â-sén	Papoea (provincie)
Sî Pâ-pu-â-sén	West-Papoea
Dagestan Khiung-fò-koet	Dagestan
Sú-tû	Hoofdstad
Monzón	Monzón
Phù-thò-ngà-ngî	Portugees
Ngie̍t	Maand
Mustafa Kemal Atatürk	Mustafa Kemal Atatürk
Makhachkala	Machatsjkala
Chechnya Khiung-fò-koet	Tsjetsjenië
Grozny	Grozny
Almazán	Almazán (gemeente)
Ingushetia Khiung-fò-koet	Ingoesjetië
Magas	Magas
Pet Ossetia–Alania Khiung-fò-koet	Noord-Ossetië
Kabardino-Balkaria Khiung-fò-koet	Kabardië-Balkarië
Tson-sa̍k	Diamant
Bill Gates	Bill Gates
Ngi̍t-ngî	Japans
Pak-khô-chhiòn-sû	Encyclopedie
頭頁	Hoofdpagina
Karachay-Cherkessia Khiung-fò-koet	Karatsjaj-Tsjerkessië
Saratov	Saratov
Saratov-chû	Oblast Saratov
Orenburg-chû	Oblast Orenburg
Mordovia Khiung-fò-koet	Mordovië
Saransk	Saransk
Yâ-khiù	Honkbal
Làm-khiù	Basketbal
Kirov-chû	Oblast Kirov
Udmurtia Khiung-fò-koet	Oedmoertië
Sî-pak-li-â	Siberië
Mari El Khiung-fò-koet	Mari El
Yoshkar-Ola	Josjkar-Ola
